State,City,shr_actual,shr_cleared,ra_actual,ra_cleared,agency_years,ratio_actual,q_shr,q_ra,d
Arkansas,Faulkner,102,87,99.0,77.0,52,1.0303030303030303,0.8529411764705882,0.7777777777777778,-0.07516339869281041
Arkansas,Franklin,16,12,15.0,10.0,12,1.0666666666666667,0.75,0.6666666666666666,-0.08333333333333337
Arkansas,Fulton,19,17,19.0,16.0,15,1.0,0.8947368421052632,0.8421052631578947,-0.052631578947368474
Arkansas,Garland,247,204,244.0,192.0,66,1.0122950819672132,0.8259109311740891,0.7868852459016393,-0.03902568527244976
Arkansas,Grant,15,12,14.0,8.0,12,1.0714285714285714,0.8,0.5714285714285714,-0.22857142857142865
Arkansas,Greene,44,39,43.0,34.0,31,1.0232558139534884,0.8863636363636364,0.7906976744186046,-0.09566596194503174
Arkansas,Hempstead,54,46,48.0,39.0,34,1.125,0.8518518518518519,0.8125,-0.03935185185185186
Arkansas,Hot Spring,69,61,69.0,55.0,35,1.0,0.8840579710144928,0.7971014492753623,-0.08695652173913049
Arkansas,Jefferson,497,389,483.0,317.0,64,1.0289855072463767,0.7826961770623743,0.6563146997929606,-0.12638147726941362
Arkansas,Lafayette,36,35,35.0,33.0,19,1.0285714285714285,0.9722222222222222,0.9428571428571428,-0.029365079365079372
Arkansas,Lincoln,18,14,18.0,14.0,14,1.0,0.7777777777777778,0.7777777777777778,0.0
Arkansas,Little River,22,20,21.0,17.0,16,1.0476190476190477,0.9090909090909091,0.8095238095238095,-0.09956709956709953
Arkansas,Lonoke,70,61,65.0,48.0,42,1.0769230769230769,0.8714285714285714,0.7384615384615385,-0.13296703296703294
Arkansas,Miller,129,112,123.0,110.0,51,1.048780487804878,0.8682170542635659,0.8943089430894309,0.026091888825864995
Arkansas,Mississippi,256,212,253.0,202.0,79,1.0118577075098814,0.828125,0.7984189723320159,-0.029706027667984136
Arkansas,Montgomery,15,14,14.0,11.0,12,1.0714285714285714,0.9333333333333333,0.7857142857142857,-0.14761904761904765
Arkansas,Newton,11,11,11.0,11.0,10,1.0,1.0,1.0,0.0
Arkansas,Ouachita,83,69,80.0,60.0,43,1.0375,0.8313253012048193,0.75,-0.08132530120481929
Arkansas,Phillips,145,124,142.0,112.0,58,1.0211267605633803,0.8551724137931035,0.7887323943661971,-0.06644001942690636
Arkansas,Pike,21,19,21.0,16.0,14,1.0,0.9047619047619048,0.7619047619047619,-0.1428571428571429
Arkansas,Poinsett,49,47,47.0,39.0,34,1.0425531914893618,0.9591836734693877,0.8297872340425532,-0.12939643942683454
Arkansas,Polk,30,28,30.0,26.0,21,1.0,0.9333333333333333,0.8666666666666667,-0.06666666666666665
Arkansas,Prairie,15,14,14.0,12.0,12,1.0714285714285714,0.9333333333333333,0.8571428571428571,-0.07619047619047625
Arkansas,Pulaski,2130,1658,2055.0,1487.0,148,1.0364963503649636,0.7784037558685446,0.7236009732360097,-0.05480278263253491
Arkansas,St. Francis,129,111,127.0,109.0,53,1.015748031496063,0.8604651162790697,0.8582677165354331,-0.002197399743636641
Arkansas,Saline,64,59,65.0,50.0,33,0.9846153846153847,0.921875,0.7692307692307693,-0.15264423076923073
Arkansas,Sebastian,198,171,187.0,166.0,49,1.0588235294117647,0.8636363636363636,0.8877005347593583,0.024064171122994638
Arkansas,Sevier,37,34,36.0,31.0,24,1.0277777777777777,0.918918918918919,0.8611111111111112,-0.05780780780780781
Arkansas,Union,144,128,140.0,122.0,53,1.0285714285714285,0.8888888888888888,0.8714285714285714,-0.0174603174603174
Arkansas,Van Buren,17,15,19.0,12.0,13,0.8947368421052632,0.8823529411764706,0.631578947368421,-0.25077399380804954
Arkansas,Washington,171,160,162.0,140.0,79,1.0555555555555556,0.935672514619883,0.8641975308641975,-0.0714749837556855
Arkansas,Woodruff,14,13,14.0,11.0,10,1.0,0.9285714285714286,0.7857142857142857,-0.1428571428571429
Arkansas,Yell,34,32,32.0,27.0,22,1.0625,0.9411764705882353,0.84375,-0.09742647058823528
Arizona,Cochise,172,147,163.0,99.0,78,1.0552147239263803,0.8546511627906976,0.6073619631901841,-0.24728919960051354
Arizona,Coconino,156,125,145.0,118.0,65,1.0758620689655172,0.8012820512820513,0.8137931034482758,0.012511052166224501
Arizona,Gila,62,55,57.0,46.0,43,1.087719298245614,0.8870967741935484,0.8070175438596491,-0.0800792303338993
Arizona,Graham,23,22,22.0,19.0,20,1.0454545454545454,0.9565217391304348,0.8636363636363636,-0.09288537549407117
Arizona,Maricopa,8552,5974,7778.0,4716.0,402,1.0995114425302135,0.6985500467726847,0.6063255335561841,-0.0922245132165006
Arizona,Mohave,345,287,326.0,269.0,107,1.0582822085889572,0.8318840579710145,0.8251533742331288,-0.0067306837378856565
Arizona,Navajo,102,77,99.0,63.0,68,1.0303030303030303,0.7549019607843137,0.6363636363636364,-0.11853832442067735
Arizona,Pima,2376,1692,2158.0,1424.0,123,1.1010194624652456,0.7121212121212122,0.659870250231696,-0.05225096188951617
Arizona,Pinal,419,323,400.0,212.0,127,1.0475,0.7708830548926014,0.53,-0.24088305489260142
Arizona,Santa Cruz,41,23,40.0,13.0,27,1.025,0.5609756097560976,0.325,-0.2359756097560976
Arizona,Yavapai,234,198,215.0,187.0,90,1.0883720930232559,0.8461538461538461,0.8697674418604651,0.023613595706618917
Arizona,Yuma,202,170,190.0,88.0,54,1.063157894736842,0.8415841584158416,0.4631578947368421,-0.37842626367899945
California,Alameda,5398,2957,5086.0,2724.0,396,1.0613448682658277,0.547795479807336,0.5355878883208809,-0.012207591486455116
California,San Francisco,3016,1531,2912.0,1519.0,53,1.0357142857142858,0.5076259946949602,0.5216346153846154,0.014008620689655249
California,Alpine,6,5,6.0,2.0,6,1.0,0.8333333333333334,0.3333333333333333,-0.5
California,Butte,320,256,289.0,213.0,107,1.1072664359861593,0.8,0.7370242214532872,-0.06297577854671288
California,Colusa,35,30,31.0,25.0,27,1.1290322580645162,0.8571428571428571,0.8064516129032258,-0.05069124423963134
California,Contra Costa,2568,1556,2417.0,1413.0,375,1.0624741414977243,0.6059190031152648,0.5846090194455937,-0.021309983669671073
California,Del Norte,59,47,54.0,38.0,36,1.0925925925925926,0.7966101694915254,0.7037037037037037,-0.09290646578782169
California,El Dorado,219,183,192.0,162.0,72,1.140625,0.8356164383561644,0.84375,0.008133561643835607
California,Fresno,2843,1836,2636.0,1710.0,244,1.0785280728376327,0.6457966936334858,0.6487101669195751,0.002913473286089263
California,Glenn,36,27,34.0,23.0,25,1.0588235294117647,0.75,0.6764705882352942,-0.07352941176470584
California,Humboldt,274,226,245.0,187.0,90,1.1183673469387756,0.8248175182481752,0.763265306122449,-0.06155221212572615
California,Imperial,248,185,237.0,151.0,105,1.0464135021097047,0.7459677419354839,0.6371308016877637,-0.10883694024772017
