State,City,mean_Black,mean_White,size_Black,size_White,min_race_n,gap_pp,weight
New Jersey,Cumberland,0.5384615384615384,0.6842105263157895,26.0,19.0,10,-14.574898785425106,45.0
New Jersey,Essex,0.7331910352187834,0.6394230769230769,1874.0,416.0,10,9.37679582957065,2290.0
New Jersey,Gloucester,0.5,0.5714285714285714,10.0,28.0,10,-7.14285714285714,38.0
New Jersey,Hudson,0.7889447236180904,0.6359832635983264,199.0,239.0,10,15.296146001976407,438.0
New Jersey,Mercer,0.8115183246073299,0.7472527472527473,191.0,91.0,10,6.42655773545826,282.0
New Jersey,Middlesex,0.8,0.7733333333333333,30.0,75.0,10,2.6666666666666727,105.0
New Jersey,Monmouth,0.9032258064516129,0.8148148148148148,31.0,54.0,10,8.84109916367981,85.0
New Jersey,Ocean,0.5333333333333333,0.7916666666666666,15.0,24.0,10,-25.83333333333333,39.0
New Jersey,Passaic,0.7247706422018348,0.6972477064220184,109.0,109.0,10,2.752293577981646,218.0
New Jersey,Union,0.7738095238095238,0.69,168.0,100.0,10,8.380952380952388,268.0
New Mexico,Bernalillo,0.6142857142857143,0.6125,70.0,480.0,10,0.17857142857142794,550.0
New York,Albany,0.6,0.4583333333333333,45.0,24.0,10,14.166666666666666,69.0
New York,Dutchess,0.7391304347826086,0.47619047619047616,46.0,21.0,10,26.293995859213247,67.0
New York,Erie,0.6701986754966888,0.49029126213592233,755.0,206.0,10,17.990741336076642,961.0
New York,Monroe,0.572354211663067,0.593103448275862,463.0,145.0,10,-2.074923661279504,608.0
New York,Nassau,0.7092198581560284,0.5944055944055944,141.0,143.0,10,11.481426375043402,284.0
New York,New York,0.6207496136012365,0.6387719732607081,10352.0,8078.0,10,-1.8022359659471632,18430.0
New York,Niagara,0.5,0.5555555555555556,14.0,18.0,10,-5.555555555555558,32.0
New York,Oneida,0.8043478260869565,0.5666666666666667,46.0,30.0,10,23.768115942028988,76.0
New York,Onondaga,0.759493670886076,0.7380952380952381,79.0,42.0,10,2.1398432790837862,121.0
New York,Orange,0.6,0.5135135135135135,30.0,37.0,10,8.64864864864865,67.0
New York,Rensselaer,0.3,0.7142857142857143,10.0,14.0,10,-41.42857142857143,24.0
New York,Rockland,0.45454545454545453,0.6842105263157895,11.0,19.0,10,-22.966507177033495,30.0
New York,Schenectady,0.625,0.5333333333333333,32.0,15.0,10,9.166666666666668,47.0
New York,Suffolk,0.6986301369863014,0.746606334841629,146.0,221.0,10,-4.797619785532758,367.0
New York,Westchester,0.6666666666666666,0.5359477124183006,141.0,153.0,10,13.0718954248366,294.0
North Carolina,Alamance,0.4166666666666667,0.5555555555555556,12.0,18.0,10,-13.88888888888889,30.0
North Carolina,Anson,0.6,0.45454545454545453,10.0,11.0,10,14.545454545454545,21.0
North Carolina,Buncombe,0.5,0.5909090909090909,18.0,44.0,10,-9.090909090909093,62.0
North Carolina,Cabarrus,0.76,0.6666666666666666,25.0,30.0,10,9.333333333333337,55.0
North Carolina,Catawba,0.631578947368421,0.7419354838709677,19.0,31.0,10,-11.035653650254673,50.0
North Carolina,Cleveland,0.375,0.44,32.0,25.0,10,-6.5,57.0
North Carolina,Columbus,0.68,0.5294117647058824,25.0,17.0,10,15.058823529411768,42.0
North Carolina,Craven,0.6875,0.7272727272727273,16.0,11.0,10,-3.9772727272727293,27.0
North Carolina,Cumberland,0.5989847715736041,0.7010309278350515,197.0,97.0,10,-10.204615626144742,294.0
North Carolina,Durham,0.6219512195121951,0.609375,164.0,64.0,10,1.257621951219512,228.0
North Carolina,Forsyth,0.7272727272727273,0.5833333333333334,110.0,60.0,10,14.393939393939393,170.0
North Carolina,Franklin,0.8,0.45454545454545453,10.0,11.0,10,34.545454545454554,21.0
North Carolina,Gaston,0.5185185185185185,0.5,27.0,38.0,10,1.851851851851849,65.0
